name,latitude,longitude,description,type
"GRAN VIA CORTS CATALANES, 760",41.3979779,2.1801069,02-Eixample/05-el Fort Pienc,old
"C/ ROGER DE FLOR, 126",41.3954877,2.1771985,02-Eixample/05-el Fort Pienc,old
"C/ NÀPOLS, 82",41.3941557,2.1813305,02-Eixample/05-el Fort Pienc,old
"C/ RIBES, 13",41.3933173,2.1812483,02-Eixample/05-el Fort Pienc,old
"PG. LLUIS COMPANYS, 11 (ARC TRIOMF)",41.3911035,2.1801763,"01-CiutatVella/04-Sant Pere, Santa Caterina i la Ribera",old
"PG. LLUIS COMPANYS, 18 (ARC TRIOMF)",41.3914292,2.1805685,"01-CiutatVella/04-Sant Pere, Santa Caterina i la Ribera",old
"PG. PUJADES,  1 (JUTJATS)",41.388885,2.18329,"01-CiutatVella/04-Sant Pere, Santa Caterina i la Ribera",old
"PG. PUJADES, 2",41.389135,2.183489,"01-CiutatVella/04-Sant Pere, Santa Caterina i la Ribera",old
"AV. MARQUÉS DE L'ARGENTERA,13",41.384546,2.184922,"01-CiutatVella/04-Sant Pere, Santa Caterina i la Ribera",old
"C/ 60, NÚMERO 25",41.3467746,2.1436235,03-Sants-Montjuïc/12-la Marina del Prat Vermell,old
"PG. MARITIM, 11 (DAVANT PL. BRUGADA)",41.382398,2.194294,01-CiutatVella/03-la Barceloneta,old
"PG. MARITIM, 23 (HOSPITAL DEL MAR)",41.3833653,2.1946255,01-CiutatVella/03-la Barceloneta,old
"C/ MARINA, 25-33",41.388143,2.195551,01-CiutatVella/67-la Vila Olímpica del Poblenou,old
"AV. MARQUÉS DE  L'ARGENTERA, 15",41.384844,2.185085,"01-CiutatVella/04-Sant Pere, Santa Caterina i la Ribera",old
"C/ DIPUTACIÓ, 272",41.39161170092347,2.1689031978751205,02-Eixample/07-la Dreta de l'Eixample,old
"AV. MERIDIANA, 47 (D)",41.3982615,2.1866517,02-Eixample/66-el Parc i la Llacuna del Poblenou,old
"C/ ROSSELLÓ, 453",41.4060589,2.1740472,02-Eixample/06-la Sagrada Família,old
"C/ ROSSELLÓ, 354",41.4031491,2.1707947,02-Eixample/06-la Sagrada Família,old
"C/ CARTAGENA, 308",41.410314,2.1757334,02-Eixample/06-la Sagrada Família,old
"C/ SANT ANTONI MARIA CLARET, 214",41.4108439,2.1740575,02-Eixample/06-la Sagrada Família,old
"C/ SARDENYA, 292",41.4016969,2.175767,02-Eixample/06-la Sagrada Família,old
"C/ BRUC, 45",41.3924661,2.1717397,02-Eixample/07-la Dreta de l'Eixample,old
"C/ MARINA, 199",41.4005784,2.1788855,02-Eixample/05-el Fort Pienc,old
"C/ BRUC, 102",41.3954041,2.1681961,02-Eixample/07-la Dreta de l'Eixample,old
"C/ DOS DE MAIG, 230-232",41.4071692,2.1820722,10-SantMartí/64-el Camp de l'Arpa del Clot,old
"C/ PROVENÇA, 322",41.3967524,2.1646338,02-Eixample/07-la Dreta de l'Eixample,old
"C/ SARDENYA, 362",41.4055143,2.1706498,02-Eixample/06-la Sagrada Família,old
"C/ PROVENÇA, 388-390",41.401061,2.169941,02-Eixample/07-la Dreta de l'Eixample,old
"C/ CASTILLEJOS, 184",41.4021805,2.1829894,02-Eixample/05-el Fort Pienc,old
PL. DEL MAR,41.3748001,2.1889045,01-CiutatVella/03-la Barceloneta,old
LA BARCELONETA (CN BARCELONETA),41.3736911,2.188928,01-CiutatVella/03-la Barceloneta,old
"C/ SANT PERE MÉS ALT, 4",41.3871079,2.1753364,"01-CiutatVella/04-Sant Pere, Santa Caterina i la Ribera",old
"C/ SANT RAMON DE PENYAFORT, 1",41.4134833,2.2206913,10-SantMartí/70-el Besòs i el Maresme,old
"AV. DE LA CATEDRAL, 6",41.3850616,2.1766834,01-CiutatVella/02-el Barri Gòtic,old
PG. DE COLOM - VIA LAIETANA,41.380624,2.1820675,"01-CiutatVella/04-Sant Pere, Santa Caterina i la Ribera",old
PL. PAU VILA (D),41.381046,2.186576,01-CiutatVella/03-la Barceloneta,old
"C/ DOCTOR AIGUADER, 2",41.382335,2.187093,01-CiutatVella/03-la Barceloneta,old
PL. POETA BOSCÀ | C/ ATLÀNTIDA,41.379326,2.189906,01-CiutatVella/03-la Barceloneta,old
"C/ CIUTAT DE GRANADA, 168| AV.DIGONAL",41.404511,2.189881,10-SantMartí/66-el Parc i la Llacuna del Poblenou,old
"C/ CLOT, 1",41.4063864,2.1874404,10-SantMartí/65-el Clot,old
"C/ SARDENYA, 66",41.391466,2.189371,10-SantMartí/67-la Vila Olímpica del Poblenou,old
"C/ VILLENA, 1",41.38860659692564,2.1921945084594707,10-SantMartí/67-la Vila Olímpica del Poblenou,old
"C/ RAMON TRIAS FARGAS, 21",41.3902194,2.1904003,10-SantMartí/67-la Vila Olímpica del Poblenou,old
"AV. MERIDIANA, 40",41.3960652,2.1871959,10-SantMartí/66-el Parc i la Llacuna del Poblenou,old
"C/ ROSA SENSAT, 20",41.3910756,2.1965766,10-SantMartí/67-la Vila Olímpica del Poblenou,old
"AV. PARAL.LEL, 54",41.3751145,2.1709386,01-CiutatVella/01-el Raval,old
PL. VICENÇ MARTORELL,41.3842634,2.1692556,01-CiutatVella/01-el Raval,old
"PL. SANT MIQUEL, 4",41.381708,2.177292,01-CiutatVella/02-el Barri Gòtic,old
PL. CARLES PI I SUNYER,41.385086,2.174016,01-CiutatVella/02-el Barri Gòtic,old
"C/ SANT OLEGUER, 2",41.3775319,2.1707321,01-CiutatVella/01-el Raval,old
"PORTAL DE SANTA MADRONA, 2-4",41.3770715,2.1758261,01-CiutatVella/01-el Raval,old
"LA RAMBLA, 1",41.376326,2.176971,01-CiutatVella/02-el Barri Gòtic,old
PLAÇA DELS ÀNGELS (MACBA),41.38268,2.16712,01-CiutatVella/01-el Raval,old
"C/ AGUSTÍ DURAN I SANPERE, 1",41.38138153977469,2.16807754829512,01-CiutatVella/01-el Raval,old
"RBLA. CATALUNYA, 47",41.3902625,2.164035,02-Eixample/07-la Dreta de l'Eixample,old
"C/ ARAGÓ, 288",41.39352,2.166797,02-Eixample/07-la Dreta de l'Eixample,old
"PL. CATALUNYA, 5",41.387235,2.168819,02-Eixample/07-la Dreta de l'Eixample,old
"PL. CATALUNYA, 7",41.386543,2.169427,02-Eixample/07-la Dreta de l'Eixample,old
"PL. CATALUNYA, 10-11 (LA RAMBLA)",41.387493,2.1690686,02-Eixample/07-la Dreta de l'Eixample,old
"PL. CATALUNYA, 10-11 (PG. DE GRÀCIA)",41.387696,2.1696543,02-Eixample/07-la Dreta de l'Eixample,old
"GRAN VIA DE LES CORTS CATALANES, 609",41.3893222,2.1678388,02-Eixample/07-la Dreta de l'Eixample,old
"C/ ROCAFORT, 214 | C/ ROSSELLÓ",41.3852864,2.1454802,02-Eixample/09-la Nova Esquerra de l'Eixample,old
"RAMBLA CATALUNYA, 133 /  CÒRSEGA",41.3953894,2.1572953,02-Eixample/07-la Dreta de l'Eixample,old
"CARRER DE LA MARINA,25-33",41.388507,2.195073,01-CiutatVella/67-la Vila Olímpica del Poblenou,old
"C/ COMTE URGELL, 23",41.380393,2.1606506,02-Eixample/10-Sant Antoni,old
"C/ FLORIDABLANCA, 145",41.3819459,2.1629146,02-Eixample/10-Sant Antoni,old
"C/ PROVENÇA, 215",41.3927771,2.1586273,02-Eixample/07-la Dreta de l'Eixample,old
"C/ ENRIC GRANADOS, 93",41.392135,2.1563542,02-Eixample/08-l'Antiga Esquerra de l'Eixample,old
"AV. JOSEP TARRADELLAS, 133",41.3900085,2.1432105,02-Eixample/19-les Corts,old
"AV. JOSEP TARRADELLAS, 58",41.385004,2.1429115,02-Eixample/09-la Nova Esquerra de l'Eixample,old
"C/ CÒRSEGA, 216",41.3917666,2.1532163,02-Eixample/08-l'Antiga Esquerra de l'Eixample,old
"AV. FRANCESC CAMBÓ, 10",41.3855644,2.1773214,"01-CiutatVella/04-Sant Pere, Santa Caterina i la Ribera",old
PL. UNIVERSITAT /  ARIBAU,41.3856474,2.1634306,02-Eixample/10-Sant Antoni,old
 PL.  UNIVERSITAT,41.385503,2.1634768,02-Eixample/10-Sant Antoni,old
"C/ ENRIC  GRANADOS, 35",41.389668,2.1599078,02-Eixample/08-l'Antiga Esquerra de l'Eixample,old
"C/ VILAMARÍ,  61",41.3790718,2.1490553,02-Eixample/09-la Nova Esquerra de l'Eixample,old
"C/ CALÀBRIA, 112",41.38031805998654,2.154437124811396,02-Eixample/09-la Nova Esquerra de l'Eixample,old
"C/ CALABRIA, 158",41.3821658,2.1520645,02-Eixample/09-la Nova Esquerra de l'Eixample,old
C/ DEL COMTE D'URGELL 75 B,41.3830299,2.1571646,02-Eixample/09-la Nova Esquerra de l'Eixample,old
"AV. PARAL·LEL, 146 BIS",41.3751852,2.1592394,02-Eixample/10-Sant Antoni,old
"C/ VILADOMAT,  2",41.3755747,2.1629349,02-Eixample/10-Sant Antoni,old
"C/ ROCAFORT, 187",41.38322238887374,2.147993191629656,02-Eixample/09-la Nova Esquerra de l'Eixample,old
"C/ LONDRES, 101-103",41.3936144,2.1507739,02-Eixample/08-l'Antiga Esquerra de l'Eixample,old
"C/ ROSSELLÓ,  101",41.3871904,2.149131,02-Eixample/09-la Nova Esquerra de l'Eixample,old
"C/ ROSSELLÓ, 108-110",41.388296,2.150878,02-Eixample/08-l'Antiga Esquerra de l'Eixample,old
"C/ COMTE D'URGELL, 43",41.3812504,2.1594741,02-Eixample/10-Sant Antoni,old
"C / PROVENÇA, 241",41.3938861,2.1601641,02-Eixample/07-la Dreta de l'Eixample,old
"GRAN VIA DE LES CORTS CATALANES,375",41.3757914,2.1499102,02-Eixample/10-Sant Antoni,old
"C/ TARRAGONA, 103-115",41.3763948,2.1473272,03-Sants-Montjuïc/15-Hostafrancs,old
"GRAN VIA DE LES CORTS CATALANES,  368",41.3741093,2.1481993,03-Sants-Montjuïc/15-Hostafrancs,old
"C/ TARRAGONA, 141",41.3779613,2.1450491,03-Sants-Montjuïc/15-Hostafrancs,old
"C/ VIRIAT, 43",41.3806074,2.1408633,03-Sants-Montjuïc/18-Sants,old
"C/ VIRIAT,  53",41.3808222,2.141539,03-Sants-Montjuïc/18-Sants,old
"C/ TARRAGONA,  159-173",41.379363,2.143868,03-Sants-Montjuïc/15-Hostafrancs,old
"AV. DIAGONAL, 602",41.392878,2.143411,05-Sarrià-StGervasi/26-Sant Gervasi - Galvany,old
"AV. DIAGONAL,  612",41.392567,2.1422174,05-Sarrià-StGervasi/26-Sant Gervasi - Galvany,old
"C/ ARAGÓ, 629",41.410098,2.1884487,10-SantMartí/65-el Clot,old
"C/ VALÈNCIA,  621",41.4108005,2.1872438,10-SantMartí/65-el Clot,old
"RDA. DE SANT PERE, 26",41.389492,2.17425,02-Eixample/07-la Dreta de l'Eixample,old
"PL JOANIC - C / BRUNIQUER, 59",41.4055198,2.1622548,06-Gràcia/31-la Vila de Gràcia,old
"TRAV. DE GRÀCIA, 92 / VIA AUGUSTA",41.3982304,2.1531031,05-Sarrià-StGervasi/26-Sant Gervasi - Galvany,old
"C / INDÚSTRIA, 10",41.4022081,2.1649035,06-Gràcia/32-el Camp d'en Grassot i Gràcia Nova,old
"C/ LONDRES,  53",41.3912605,2.1476308,02-Eixample/08-l'Antiga Esquerra de l'Eixample,old
"AV. ROMA,  136",41.3852585,2.155089,02-Eixample/08-l'Antiga Esquerra de l'Eixample,old
C/ ARAGÓ 147,41.3847528,2.1546746,02-Eixample/09-la Nova Esquerra de l'Eixample,old
"C/ FLORIDABLANCA,  49",41.3776721,2.157233,02-Eixample/10-Sant Antoni,old
"RONDA DE SANT PAU , 51",41.3773113,2.1646742,02-Eixample/10-Sant Antoni,old
"PL. JEAN GENET,  1",41.376735,2.1740082,01-CiutatVella/01-el Raval,old
"AV. MARQUÉS DE L'ARGENTERA,  3",41.383597,2.184171,"01-CiutatVella/04-Sant Pere, Santa Caterina i la Ribera",old
"C/ DEL DR. AIGUADER, 72 / PG. SALVAT",41.3838369,2.1914756,01-CiutatVella/03-la Barceloneta,old
"C/ ROSA SENSAT, 12",41.3906051,2.1972309,10-SantMartí/67-la Vila Olímpica del Poblenou,old
"C/ PUJADES,  3",41.39212,2.1874966,10-SantMartí/66-el Parc i la Llacuna del Poblenou,old
"C/ SARDENYA,  178",41.3967169,2.1825085,02-Eixample/05-el Fort Pienc,old
"C/ LEPANT,  278",41.4047056,2.1765126,02-Eixample/06-la Sagrada Família,old
"C/ CASTILLEJOS, 258",41.4064529,2.1785364,02-Eixample/06-la Sagrada Família,old
"C/ NÀPOLS, 344",41.4054458,2.1663172,06-Gràcia/32-el Camp d'en Grassot i Gràcia Nova,old
"C/ PROVENÇA, 317",41.3988184485363,2.166735224916682,02-Eixample/07-la Dreta de l'Eixample,old
C/ NOVA  BOCANA,41.3702483,2.1878126,01-CiutatVella/03-la Barceloneta,old
"PG. MARíTIM, 31 B (ANNEXA A LA 12)",41.3834753,2.194735,01-CiutatVella/03-la Barceloneta,old
PG. DE COLOM /VIA LAIETANA,41.380628,2.1822815,01-CiutatVella/02-el Barri Gòtic,old
"C/ ARAGÓ, 659 / NAVAS DE TOLOSA",41.4120681,2.1907524,10-SantMartí/65-el Clot,old
"RAMBLA DE GUIPÚSCOA, 43/FLUVIA",41.4158412,2.1959771,10-SantMartí/72-Sant Martí de Provençals,old
"C/ MANSO, 46",41.377046,2.16113608,02-Eixample/10-Sant Antoni,old
"RAMBLA DE GUIPÚSCOA, 103 / CANTÀBRIA",41.4200135,2.2016699,10-SantMartí/73-la Verneda i la Pau,old
"RAMBLA  DE GUIPÚSCOA, 158/ CA N'OLIVA",41.4227912,2.2060317,10-SantMartí/73-la Verneda i la Pau,old
PL. VALENTÍ ALMIRALL,41.4084796,2.192042,10-SantMartí/65-el Clot,old
"GRAN VIA DE LES CORTS CATALANES,  902",41.4075013,2.1930174,10-SantMartí/71-Provençals del Poblenou,old
"C/ BAC DE RODA, 157",41.4113024,2.1987258,10-SantMartí/71-Provençals del Poblenou,old
"GRAN VIA DE LES CORTS CATALANES,  981",41.4120452,2.1972673,10-SantMartí/72-Sant Martí de Provençals,old
"GRAN VIA DE LES CORTS CATALANES,  1062",41.4139298,2.2017955,10-SantMartí/71-Provençals del Poblenou,old
"GRAN VIA DE LES CORTS CATALANES , 1041",41.4145805,2.2008139,10-SantMartí/72-Sant Martí de Provençals,old
"GRAN VIA DE LES CORTS CATALANES,  1118",41.4167933,2.2058345,10-SantMartí/71-Provençals del Poblenou,old
"GRAN VIA DE LES CORTS CATALANES,  1131",41.4183999,2.2058133,10-SantMartí/73-la Verneda i la Pau,old
"C/ VILADOMAT,  122",41.3808772,2.1559939,02-Eixample/09-la Nova Esquerra de l'Eixample,old
"C/ BILBAO, 174",41.4090202,2.1954152,10-SantMartí/71-Provençals del Poblenou,old
"C/ SANCHO DE ÁVILA,  104 - C/ BADAJOZ",41.4003793,2.1924144,10-SantMartí/66-el Parc i la Llacuna del Poblenou,old
"C/ SANCHO DE ÁVILA, 170 / LLACUNA",41.4027907,2.1956161,10-SantMartí/68-el Poblenou,old
"C/ CASTELLA,  28 / DIAGONAL",41.4056269,2.1977119,10-SantMartí/68-el Poblenou,old
"C/ PERE IV,  301 / FLUVIÀ",41.4093405,2.2024461,10-SantMartí/71-Provençals del Poblenou,old
"C/ PERE IV, 488",41.4148983,2.207186,10-SantMartí/71-Provençals del Poblenou,old
"RAMBLA PRIM, 79",41.416043,2.2124993,10-SantMartí/70-el Besòs i el Maresme,old
"RONDA SANT PAU, 79",41.3783467,2.1633139,02-Eixample/10-Sant Antoni,old
"C/ PUJADES, 57B",41.3958685,2.192952,10-SantMartí/66-el Parc i la Llacuna del Poblenou,old
"C/ ESPRONCEDA, 124",41.4065912,2.203028,10-SantMartí/68-el Poblenou,old
"C/ PALLARS, 182",41.4003471,2.1969105,10-SantMartí/68-el Poblenou,old
"C/ PUJADES, 121",41.3993329,2.1974184,10-SantMartí/68-el Poblenou,old
"C/ PUJADES, 173/RBLA POBLE NOU",41.4018686,2.20077,10-SantMartí/68-el Poblenou,old
"C/ PUJADES, 191",41.4026275,2.2017694,10-SantMartí/68-el Poblenou,old
"C/ PUJADES, 311/ FLUVIÀ",41.4070139,2.2074469,10-SantMartí/69-Diagonal Mar i el Front Marítim del Poblenou,old
